iter	Passed	Remaining
456	831	988
457	833	985
458	834	983
459	835	981
460	836	978
461	837	975
462	838	973
463	839	970
464	840	967
465	841	964
466	843	962
467	845	960
468	846	958
469	847	955
470	848	952
471	849	949
472	850	947
473	851	944
474	852	941
475	853	939
476	854	936
477	855	933
478	856	931
479	857	929
480	859	927
481	860	924
482	861	921
483	862	919
484	863	916
485	864	914
486	865	911
487	866	909
488	868	907
489	871	907
490	873	905
491	874	903
492	876	900
493	877	898
494	878	896
495	879	893
496	880	891
497	882	889
498	883	886
499	884	884
500	886	882
501	887	880
502	889	878
503	890	876
504	891	873
505	892	871
506	893	869
507	894	866
508	896	864
509	897	862
510	900	861
511	901	859
512	902	857
513	904	854
514	905	852
515	906	850
516	908	848
517	910	847
518	912	846
519	914	844
520	915	842
521	917	839
522	918	837
523	920	835
524	921	833
525	923	832
526	925	830
527	926	828
528	928	826
529	932	826
530	935	825
531	936	823
532	937	821
533	939	819
534	941	818
535	942	816
536	943	813
537	945	811
538	946	809
539	947	807
540	949	805
541	951	803
542	952	801
543	953	799
544	954	797
545	956	794
546	960	795
547	961	793
548	962	790
549	964	788
550	965	786
551	966	784
552	967	782
553	969	780
554	971	778
555	972	776
556	975	775
557	977	773
558	978	771
559	979	769
560	981	767
561	982	765
562	984	764
563	985	762
564	987	759
565	989	759
566	991	757
567	992	754
568	993	752
569	994	750
570	996	748
571	997	746
572	998	744
573	1002	743
574	1005	742
575	1006	740
576	1007	738
577	1008	736
578	1009	734
579	1010	732
580	1011	729
581	1012	727
582	1013	725
583	1014	722
584	1015	720
585	1016	718
586	1020	717
587	1021	715
588	1023	713
589	1024	711
590	1026	710
591	1027	708
592	1028	706
593	1030	704
594	1031	702
595	1034	701
596	1035	699
597	1037	697
598	1038	694
599	1039	692
600	1040	690
601	1041	688
602	1042	686
603	1043	684
604	1045	682
605	1046	680
606	1050	680
607	1051	678
608	1052	676
609	1054	673
610	1055	672
611	1058	670
612	1060	669
613	1061	667
614	1064	666
615	1066	664
616	1067	662
617	1069	660
618	1070	658
619	1076	660
620	1080	659
621	1082	658
622	1084	656
623	1086	654
624	1088	652
625	1090	651
626	1096	652
627	1102	653
628	1104	651
629	1106	649
630	1107	647
631	1110	646
632	1113	645
633	1115	643
634	1117	642
635	1119	640
636	1121	639
637	1127	639
638	1131	638
639	1132	637
640	1134	635
641	1137	634
642	1139	632
643	1142	631
644	1145	630
645	1147	628
646	1149	627
647	1151	625
648	1153	623
649	1156	622
650	1158	621
651	1162	620
652	1163	618
653	1166	616
654	1168	615
655	1171	614
656	1189	620
657	1191	619
658	1195	618
659	1196	616
660	1198	614
661	1200	613
662	1204	612
663	1206	610
664	1209	609
665	1214	608
666	1219	608
667	1221	606
668	1224	606
669	1228	605
670	1232	604
671	1235	602
672	1237	601
673	1240	599
674	1242	598
675	1245	596
676	1248	595
677	1251	594
678	1258	594
679	1267	596
680	1269	594
681	1272	593
682	1274	591
683	1276	589
684	1279	588
685	1282	587
686	1285	585
687	1288	584
688	1292	583
689	1296	582
690	1298	580
691	1299	578
692	1300	576
693	1302	574
694	1303	572
695	1305	570
696	1307	568
697	1309	566
698	1311	564
699	1314	563
700	1316	561
701	1320	560
702	1322	558
703	1323	556
704	1325	554
705	1328	553
706	1329	551
707	1332	549
708	1333	547
709	1335	545
710	1336	543
711	1337	540
712	1338	538
713	1339	536
714	1343	535
715	1344	533
716	1345	531
717	1346	528
718	1348	527
719	1350	525
720	1351	523
721	1353	520
722	1354	519
723	1358	517
724	1359	515
725	1360	513
726	1362	511
727	1365	510
728	1367	508
729	1374	508
730	1376	506
731	1377	504
732	1379	502
733	1380	500
734	1382	498
735	1383	496
736	1386	494
737	1388	492
738	1389	490
739	1391	488
740	1392	486
741	1393	484
742	1395	482
743	1396	480
744	1397	478
745	1399	476
746	1400	474
747	1402	472
748	1403	470
749	1404	468
750	1406	466
751	1407	464
752	1409	462
753	1411	460
754	1413	458
755	1415	456
756	1417	454
757	1418	452
758	1420	450
759	1421	448
760	1422	446
761	1423	444
762	1424	442
763	1425	440
764	1426	438
765	1428	436
766	1429	434
767	1430	432
768	1431	430
769	1433	428
770	1434	425
771	1434	423
772	1435	421
773	1436	419
774	1438	417
775	1439	415
776	1440	413
777	1441	411
778	1443	409
779	1444	407
780	1445	405
781	1446	403
782	1447	401
783	1448	399
784	1449	397
785	1450	395
786	1451	392
787	1453	390
788	1454	388
789	1455	386
790	1456	384
791	1458	382
792	1459	380
793	1460	378
794	1461	376
795	1462	374
796	1463	372
797	1464	370
798	1466	368
799	1467	366
800	1470	365
801	1474	363
802	1475	361
803	1476	360
804	1478	358
805	1480	356
806	1481	354
807	1482	352
808	1484	350
809	1485	348
810	1487	346
811	1488	344
812	1490	342
813	1491	340
814	1492	338
815	1493	336
816	1494	334
817	1497	333
818	1498	331
819	1499	329
820	1502	327
821	1509	326
822	1511	325
823	1512	323
824	1515	321
825	1516	319
826	1518	317
827	1519	315
828	1521	313
829	1522	311
830	1523	309
831	1524	307
832	1526	305
833	1528	304
834	1530	302
835	1532	300
836	1533	298
837	1535	296
838	1536	294
839	1537	292
840	1539	290
841	1540	289
842	1542	287
843	1545	285
844	1546	283
845	1547	281
846	1548	279
847	1553	278
848	1555	276
849	1556	274
850	1557	272
851	1560	271
852	1562	269
853	1564	267
854	1565	265
855	1567	263
856	1568	261
857	1570	259
858	1571	257
859	1572	256
860	1575	254
861	1576	252
862	1577	250
863	1579	248
864	1580	246
865	1581	244
866	1582	242
867	1584	240
868	1585	239
869	1586	237
870	1587	235
871	1590	233
872	1591	231
873	1592	229
874	1593	227
875	1594	225
876	1596	223
877	1597	222
878	1599	220
879	1602	218
880	1604	216
881	1605	214
882	1606	212
883	1607	210
884	1608	209
885	1611	207
886	1612	205
887	1613	203
888	1614	201
889	1615	199
890	1616	197
891	1619	196
892	1621	194
893	1622	192
894	1623	190
895	1624	188
896	1625	186
897	1626	184
898	1627	182
899	1628	180
900	1629	179
901	1630	177
902	1631	175
903	1632	173
904	1635	171
905	1637	169
906	1638	167
907	1639	166
908	1640	164
909	1641	162
910	1642	160
911	1643	158
912	1644	156
913	1645	154
914	1646	152
915	1647	151
916	1648	149
917	1650	147
918	1651	145
919	1652	143
920	1653	141
921	1654	139
922	1655	138
923	1656	136
924	1657	134
925	1658	132
926	1659	130
927	1660	128
928	1662	127
929	1664	125
930	1665	123
931	1666	121
932	1667	119
933	1668	117
934	1669	116
935	1670	114
936	1671	112
937	1672	110
938	1673	108
939	1674	106
940	1675	105
941	1677	103
942	1679	101
943	1681	99
944	1683	97
945	1684	96
946	1686	94
947	1688	92
948	1689	90
949	1691	89
950	1692	87
951	1693	85
952	1694	83
953	1696	81
954	1697	79
955	1698	78
956	1699	76
957	1703	74
958	1704	72
959	1706	71
960	1707	69
961	1708	67
962	1710	65
963	1711	63
964	1712	62
965	1714	60
966	1715	58
967	1717	56
968	1719	55
969	1721	53
970	1722	51
971	1725	49
972	1727	47
973	1729	46
974	1731	44
975	1734	42
976	1736	40
977	1737	39
978	1739	37
979	1741	35
980	1742	33
981	1743	31
982	1745	30
983	1746	28
984	1751	26
985	1755	24
986	1756	23
987	1757	21
988	1760	19
989	1762	17
990	1763	16
991	1764	14
992	1765	12
993	1766	10
994	1768	8
995	1770	7
996	1772	5
997	1774	3
998	1775	1
999	1778	0
